id,landuse,area,xcoord,ycoord
way/189502316,vineyard,2928.474,10.9273208132353,45.3342642517444
way/189502823,vineyard,63830.448,10.950592254738,45.3329244649698
way/189502903,vineyard,6817.833,10.9320364458499,45.3170443240685
way/189502907,vineyard,31639.389,10.9310868254905,45.3437018608616
way/189502983,vineyard,1027.082,10.9543119905913,45.3343116333479
way/191075310,vineyard,101943.006,10.9815170792591,45.331352626843
way/191076437,vineyard,1509.014,10.9594090800287,45.3394103381167
way/191077050,vineyard,3349.704,10.958723461008,45.3011607982131
way/191077100,vineyard,3557.487,10.9623605855468,45.3480593342346
way/195702060,vineyard,14780.224,10.960848909201,45.2975127915447
way/195702277,vineyard,21606.611,10.9635490743064,45.2984018925665
way/195702287,vineyard,10005.382,10.9602235674222,45.2986467613543
way/195702714,vineyard,9608.941,10.9610233826096,45.2996032195999
