id,crop,landuse,area,xcoord,ycoord
way/96104818,grape,vineyard,10417.921,10.7183435632558,45.4656961325801
way/96104819,grape,vineyard,23249.040,10.7171940318947,45.4635401311161
way/96104821,grape,vineyard,13987.149,10.7177585575722,45.464758640535
way/111872570,grape,vineyard,9690.920,10.7200541821602,45.4730636256566
way/186287986,,vineyard,3841.666,10.7577023698238,45.478950939869
way/186288025,,vineyard,17440.536,10.756454441808,45.4666650578716
way/186288052,,vineyard,16481.512,10.7489158813056,45.4683557799531
way/186288074,,vineyard,10580.338,10.7559173543995,45.4638668709313
way/186288075,,vineyard,4154.450,10.7772023707749,45.4925994635928
way/186288078,,vineyard,2068.162,10.7609318495279,45.5043771264565
way/186288079,,vineyard,7228.312,10.7486262820722,45.5084178515053
way/186288080,,vineyard,3837.597,10.7557076834604,45.5155842040192
way/186288082,,vineyard,5084.440,10.7589033414729,45.4651737090443
way/186288096,,vineyard,23575.216,10.7534375404719,45.4670534220427
way/186288099,,vineyard,3939.289,10.7798817039797,45.4934603168822
way/186288102,,vineyard,4907.512,10.7612369676737,45.5001088191184
way/186288108,,vineyard,8229.088,10.7618588142292,45.46435804087
way/186288138,,vineyard,306148.108,10.7625316356342,45.4954603797139
way/186288150,,vineyard,4963.450,10.7550823112911,45.4671233875943
way/186288160,,vineyard,80503.181,10.7581120420461,45.4595868765974
way/186288161,,vineyard,44549.342,10.7598706910774,45.472064238139
way/186288163,,vineyard,41718.112,10.7497960842033,45.4587484160526
way/186288183,grape,vineyard,117871.078,10.7788871057772,45.4774594857227
way/186288203,,vineyard,1757.646,10.7573482983835,45.5027394748958
way/186288272,,vineyard,1798.924,10.7610696338105,45.5039047139473
way/186288279,,vineyard,33470.317,10.7671383982875,45.4657258109623
way/186288301,,vineyard,25096.183,10.7674498833693,45.4997012189062
way/186288320,,vineyard,5210.867,10.7509488937002,45.4852206110182
way/186288347,,vineyard,4947.644,10.7498391825968,45.4851087650069
way/186288348,,vineyard,2972.605,10.7565543690054,45.5070907366966
way/186288414,,vineyard,2426.569,10.7519938035705,45.5160678276734
way/186288416,,vineyard,4312.993,10.7767834595919,45.4905490011522
way/186288418,,vineyard,1936.622,10.75509328725,45.5110201585402
way/186288451,,vineyard,23172.829,10.7640876736419,45.5056963631791
way/186288469,,vineyard,16023.595,10.778811393126,45.4939513680119
way/186288480,,vineyard,16085.723,10.7658972531329,45.4648599171447
way/186288489,,vineyard,3829.378,10.7616861378901,45.5050569753204
way/186288506,,vineyard,9474.618,10.7757265460744,45.4924796005491
way/186288522,,vineyard,7671.893,10.7518518099057,45.5024102697209
way/186288526,,vineyard,8960.704,10.7606036155186,45.5025902617585
way/186288528,,vineyard,17130.547,10.7583461329879,45.4714287695391
way/186288552,,vineyard,7303.921,10.7632842343929,45.5022392796037
way/186288553,,vineyard,2649.666,10.7502243389922,45.5090125756625
way/186288579,,vineyard,20036.973,10.7761672278289,45.4890927506445
way/186288583,grape,vineyard,25224.428,10.769347944402,45.4900351835057
way/186288587,,vineyard,3992.811,10.7558408173304,45.5053486020363
way/186288596,,vineyard,14582.824,10.7483145158679,45.4609668644071
way/186288646,,vineyard,11292.381,10.7503404819048,45.4691335050556
way/186288657,,vineyard,41636.152,10.7555447877825,45.4698276902948
way/186288684,,vineyard,17993.070,10.7552960560249,45.4685669981978
way/186288685,,vineyard,12293.505,10.763084596849,45.4999353884679
way/186288689,,vineyard,14842.304,10.7584307596678,45.4733601298302
way/186288696,,vineyard,62959.461,10.7533472871817,45.5101114538152
way/186288735,,vineyard,795.079,10.7597302248503,45.5070093166058
way/186288736,,vineyard,7393.882,10.7639392610451,45.4637641124294
way/186288737,,vineyard,665.434,10.7621019915864,45.5037130223681
way/186288784,,vineyard,5648.903,10.7517564767179,45.5140676673022
way/186288793,,vineyard,1769.250,10.7511614232412,45.5162797648128
way/186288801,,vineyard,36684.372,10.7605340054362,45.4741052525632
way/186288822,,vineyard,85363.192,10.7499411461115,45.5128131360711
way/186288828,,vineyard,17322.865,10.761512796455,45.466670471689
way/186288853,,vineyard,29146.013,10.7492968382956,45.4746496113329
way/186288855,,vineyard,4300.596,10.7590740077953,45.491582932055
way/186288856,,vineyard,11637.470,10.7490371115096,45.4655681109662
way/186288860,,vineyard,1035.669,10.7494541809687,45.5057650527997
way/186288867,,vineyard,3597.228,10.7544770458717,45.4997639499601
way/186288878,,vineyard,43316.624,10.7565657954507,45.4651068189569
way/186288907,,vineyard,11339.751,10.7527272607013,45.4639497434616
way/186288908,,vineyard,8205.351,10.7567202543646,45.4626368288981
way/186288933,,vineyard,18625.705,10.75210436698,45.46989574943
way/186288942,,vineyard,5017.182,10.7703787339754,45.4810163194625
way/186288943,,vineyard,9294.086,10.7504286223272,45.4604874460626
way/186288977,,vineyard,20649.479,10.7741597060313,45.4910837886799
way/186288980,,vineyard,2547.597,10.7584340056342,45.4790537746562
way/186288991,,vineyard,3585.805,10.7562967838801,45.5045001371258
way/186288998,,vineyard,5043.637,10.7499638688493,45.5085317952411
way/186289001,,vineyard,17515.169,10.7533266366731,45.4655700827996
way/186289004,,vineyard,2467.993,10.7569923654425,45.4989543533072
way/186289027,,vineyard,1748.022,10.7644516615285,45.4713518027318
way/186289044,,vineyard,3867.410,10.7672551934748,45.4889215598229
way/186289054,,vineyard,32851.983,10.7481098901923,45.4521328521806
way/186289058,,vineyard,3815.565,10.7489653189981,45.4735817035803
way/186289101,,vineyard,610907.569,10.7684873085898,45.4720693236368
way/186289177,,vineyard,5565.887,10.7612005750326,45.4647826458967
way/186289179,,vineyard,7570.851,10.7620947911561,45.4742180385777
way/186289182,,vineyard,1505.966,10.7638835567393,45.4714998631502
way/186289191,,vineyard,17669.398,10.7677837114905,45.4670189056442
way/186289200,,vineyard,3494.710,10.7496124710015,45.507754339914
way/186289203,,vineyard,16428.119,10.7502901055293,45.4637914298444
way/186289208,,vineyard,3100.674,10.7618865879562,45.5045490190412
way/186289209,,vineyard,7668.378,10.7664685374477,45.5016458064606
way/186289229,,vineyard,2319.278,10.7627798105186,45.5039267249257
way/239963411,,vineyard,8223.871,10.7629577306924,45.4640502306804
way/344132412,,vineyard,38686.112,10.7409489477234,45.5119364667088
way/344327923,grape,vineyard,15960.936,10.7391090468932,45.5076314258669
way/344327925,,vineyard,1411.808,10.7451272879773,45.512105562619
way/344327926,,vineyard,20638.882,10.7530631746252,45.5081453905804
way/344327931,,vineyard,4602.654,10.7554024107932,45.5066448585738
way/344327933,,vineyard,2432.085,10.7498281998396,45.5100101751985
way/345084161,,vineyard,56430.981,10.7737160225085,45.4798390748521
way/345084164,,vineyard,3827.773,10.7708390552572,45.4873334851097
way/345084168,,vineyard,10341.964,10.7711295715526,45.4796745009483
way/345359760,,vineyard,9761.707,10.7560950873369,45.5016324654876
way/345359764,,vineyard,378917.163,10.7525300096432,45.4912173164158
way/345359774,,vineyard,1920.001,10.7600127919553,45.4941464557956
way/345359783,,vineyard,5867.579,10.7659132026273,45.4957613534716
way/345359786,,vineyard,20578.883,10.7657810954069,45.4917842918844
way/345359788,,vineyard,5435.367,10.7517538563785,45.4791995091157
way/350947358,,vineyard,16920.232,10.7507587112987,45.470986450527
way/350947359,,vineyard,1522.110,10.74973026086,45.4713082136815
way/350947360,,vineyard,1509.205,10.7526974034314,45.4714791317073
way/373289294,,vineyard,57293.445,10.761971590977,45.5090076085997
way/474211141,,vineyard,3882.505,10.7519757034925,45.5151613704381
way/474211807,,vineyard,3959.073,10.7528183432856,45.514028095617
way/474212505,,vineyard,10703.442,10.7541344898766,45.5142852251454
way/474212821,,vineyard,4162.644,10.7551685449498,45.5147022664711
way/474213745,,vineyard,2638.503,10.755068888047,45.5155104483541
way/651211750,grape,vineyard,3577.342,10.7470586766672,45.4777532025552
way/651211751,grape,vineyard,3359.519,10.7452391984167,45.4785614971463
way/651211752,grape,vineyard,9588.671,10.7448877285231,45.4769315580048
way/651211753,grape,vineyard,6074.857,10.746144191306,45.4772903446804
way/651211754,grape,vineyard,8689.863,10.7459398745648,45.4803524657238
way/651230186,grape,vineyard,3856.010,10.7480740564139,45.4764127334286
way/651230187,grape,vineyard,1580.370,10.7470108181452,45.4768256502783
way/651230189,grape,vineyard,40408.055,10.7413181607785,45.4808616212744
way/651230190,grape,vineyard,3764.372,10.741485688165,45.4789271356277
way/651230191,grape,vineyard,12458.761,10.7431715931579,45.4793085356538
way/676060168,,vineyard,6684.109,10.7757978659234,45.4966854594842
way/676060170,,vineyard,6539.034,10.7772484417657,45.4971927918498
way/781742253,grape,vineyard,10297.686,10.7284383187786,45.4475300927
way/781742254,grape,vineyard,64575.136,10.7271774316987,45.4485098687931
way/781742255,grape,vineyard,32863.264,10.7246246232228,45.4477072962978
